Date,Month,Channel 1 Views,Channel 1 Interactions,Channel 2 Views,Channel 2 Interactions,Site Visitors,,,,,,
11/23/14,2014-11,"300,000","3,000","25,200,000","140,000","57,200",,,,,,
11/24/14,2014-11,"460,000","4,000","24,500,000","120,000","52,900",,,,,,
11/25/14,2014-11,"370,000","4,000","29,700,000","130,000","53,800",,,,,,
11/26/14,2014-11,"220,000","3,000","28,700,000","140,000","55,700",,,,,,
11/27/14,2014-11,"190,000","2,000","27,100,000","140,000","54,000",,,,,,
11/28/14,2014-11,"170,000","3,000","23,700,000","110,000","46,300",,,,,,
11/29/14,2014-11,"180,000","3,000","29,400,000","150,000","56,700",,,,,,
11/30/14,2014-11,"270,000","3,000","23,000,000","100,000","49,000",,,,,,
12/1/14,2014-12,"240,000","4,000","9,400,000","67,000","29,500",,,,,,
12/2/14,2014-12,"170,000","4,000","8,000,000","67,000","27,500",,,,,,
12/3/14,2014-12,"220,000","4,000","14,100,000","83,000","32,900",,,,,,
12/4/14,2014-12,"220,000","4,000","19,100,000","100,000","39,200",,,,,,
12/5/14,2014-12,"170,000","4,000","19,600,000","110,000","40,400",,,,,,
12/6/14,2014-12,"160,000","3,000","19,300,000","120,000","41,700",,,,,,
